timestamp,archive_url,status,distrito,barrio,precio_medio
"2024-08-28 12:38:22,https://web.archive.org/web/20240828123822/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/alcalde-l-urunuela-palacio-de-congresos/,200,sevilla-este,alcalde-l-urunuela-palacio-de-congresos,""11,79"""
"2024-09-18 10:13:10,https://web.archive.org/web/20240918101310/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/alcalde-l-urunuela-palacio-de-congresos/,200,sevilla-este,alcalde-l-urunuela-palacio-de-congresos,""12,44"""
"2024-12-18 13:46:51,https://web.archive.org/web/20241218134651/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/alcalde-l-urunuela-palacio-de-congresos/,200,sevilla-este,alcalde-l-urunuela-palacio-de-congresos,""13,55"""
"2024-04-08 21:17:45,https://web.archive.org/web/20240408211745/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/emilio-lemos/,200,sevilla-este,emilio-lemos,""9,76"""
"2024-04-25 11:30:16,https://web.archive.org/web/20240425113016/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/emilio-lemos/,200,sevilla-este,emilio-lemos,""9,95"""
"2024-05-11 12:15:47,https://web.archive.org/web/20240511121547/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/emilio-lemos/,200,sevilla-este,emilio-lemos,""10,09"""
"2024-07-16 19:48:17,https://web.archive.org/web/20240716194817/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/emilio-lemos/,200,sevilla-este,emilio-lemos,""10,90"""
"2024-10-02 12:31:38,https://web.archive.org/web/20241002123138/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/emilio-lemos/,200,sevilla-este,emilio-lemos,""10,08"""
"2024-04-06 15:12:44,https://web.archive.org/web/20240406151244/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/ramon-de-carranza-madre-rafols/,200,los-remedios,ramon-de-carranza-madre-rafols,""11,15"""
"2024-05-14 23:41:26,https://web.archive.org/web/20240514234126/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/ramon-de-carranza-madre-rafols/,200,los-remedios,ramon-de-carranza-madre-rafols,""11,94"""
"2024-07-17 05:38:25,https://web.archive.org/web/20240717053825/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/ramon-de-carranza-madre-rafols/,200,los-remedios,ramon-de-carranza-madre-rafols,""12,78"""
"2024-08-30 09:58:04,https://web.archive.org/web/20240830095804/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/ramon-de-carranza-madre-rafols/,200,los-remedios,ramon-de-carranza-madre-rafols,""12,89"""
"2024-09-18 18:25:17,https://web.archive.org/web/20240918182517/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/ramon-de-carranza-madre-rafols/,200,los-remedios,ramon-de-carranza-madre-rafols,""12,42"""
"2024-08-28 17:07:39,https://web.archive.org/web/20240828170739/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/tablada/,200,los-remedios,tablada,""10,97"""
"2024-09-26 14:30:29,https://web.archive.org/web/20240926143029/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/tablada/,200,los-remedios,tablada,""9,56"""
"2024-11-23 03:41:02,https://web.archive.org/web/20241123034102/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/tablada/,200,los-remedios,tablada,""9,96"""
"2024-12-23 09:45:54,https://web.archive.org/web/20241223094554/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/tablada/,200,los-remedios,tablada,""10,28"""
"2024-05-15 08:33:30,https://web.archive.org/web/20240515083330/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/blas-infante/,200,los-remedios,blas-infante,""10,88"""
"2024-10-02 14:13:04,https://web.archive.org/web/20241002141304/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/blas-infante/,200,los-remedios,blas-infante,""14,43"""
"2024-12-31 11:44:41,https://web.archive.org/web/20241231114441/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/blas-infante/,200,los-remedios,blas-infante,""10,66"""
"2024-04-09 11:53:31,https://web.archive.org/web/20240409115331/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/doctor-fedriani/,200,macarena,doctor-fedriani,""11,23"""
"2024-05-11 14:50:30,https://web.archive.org/web/20240511145030/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/doctor-fedriani/,200,macarena,doctor-fedriani,""11,32"""
"2024-07-17 05:11:27,https://web.archive.org/web/20240717051127/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/doctor-fedriani/,200,macarena,doctor-fedriani,""11,29"""
"2024-08-22 09:24:35,https://web.archive.org/web/20240822092435/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/doctor-fedriani/,200,macarena,doctor-fedriani,""11,45"""
